2026-05-26 15:45:05.828 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=13 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:04.766 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=1 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:05.725 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=2 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:06.798 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=3 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:07.648 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=4 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:09.419 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=5 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:11.280 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=6 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:12.138 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=7 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:12.838 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=9 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:13.731 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=10 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:14.546 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=11 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:15.318 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=12 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:16.113 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=13 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:16.890 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=14 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:17.655 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=15 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:20.263 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=16 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

2026-05-26 15:50:21.279 | ERROR    | app.services.dify_sync_service:_create_document:118 | DifySync: 创建文档失败 book=17 status=405 body={"code":"method_not_allowed","message":"The method is not allowed for the requested URL.","status":405}

