2026-04-30 23:06:55.145 | INFO     | app.main:lifespan:84 | ============================================================
2026-04-30 23:06:55.154 | INFO     | app.main:lifespan:90 | [Startup] ✅ 数据库表初始化完成
2026-04-30 23:06:55.233 | INFO     | app.main:lifespan:99 | [Startup] ✅ 种子数据初始化完成
2026-04-30 23:06:55.234 | INFO     | app.main:lifespan:103 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-04-30 23:06:55.234 | INFO     | app.main:lifespan:104 | ============================================================
2026-04-30 23:07:12.775 | INFO     | app.main:lifespan:106 | ============================================================
2026-04-30 23:07:12.776 | INFO     | app.main:lifespan:107 | 🛑 书房管理系统 正在关闭...
2026-04-30 23:07:12.776 | INFO     | app.main:lifespan:108 | ============================================================
2026-04-30 23:07:12.779 | INFO     | app.main:lifespan:110 | [Shutdown] ✅ 已安全关闭
2026-04-30 23:07:12.779 | INFO     | app.main:lifespan:111 | ============================================================
2026-04-30 23:07:19.136 | INFO     | app.main:setup_logging:76 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-04-30 23:07:19.136 | INFO     | app.main:lifespan:82 | ============================================================
2026-04-30 23:07:19.137 | INFO     | app.main:lifespan:83 | 🚀 书房管理系统 v2.0.0 启动中...
2026-04-30 23:07:19.137 | INFO     | app.main:lifespan:84 | ============================================================
2026-04-30 23:07:19.146 | INFO     | app.main:lifespan:90 | [Startup] ✅ 数据库表初始化完成
2026-04-30 23:07:19.225 | INFO     | app.main:lifespan:99 | [Startup] ✅ 种子数据初始化完成
2026-04-30 23:07:19.226 | INFO     | app.main:lifespan:103 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-04-30 23:07:19.226 | INFO     | app.main:lifespan:104 | ============================================================
2026-04-30 23:35:23.611 | INFO     | app.main:lifespan:106 | ============================================================
2026-04-30 23:35:23.613 | INFO     | app.main:lifespan:107 | 🛑 书房管理系统 正在关闭...
2026-04-30 23:35:23.615 | INFO     | app.main:lifespan:108 | ============================================================
2026-04-30 23:35:23.634 | INFO     | app.main:lifespan:110 | [Shutdown] ✅ 已安全关闭
2026-04-30 23:35:23.635 | INFO     | app.main:lifespan:111 | ============================================================
2026-04-30 23:35:30.266 | INFO     | app.main:setup_logging:76 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-04-30 23:35:30.266 | INFO     | app.main:lifespan:82 | ============================================================
2026-04-30 23:35:30.267 | INFO     | app.main:lifespan:83 | 🚀 书房管理系统 v2.0.0 启动中...
2026-04-30 23:35:30.267 | INFO     | app.main:lifespan:84 | ============================================================
2026-04-30 23:35:30.281 | INFO     | app.main:lifespan:90 | [Startup] ✅ 数据库表初始化完成
2026-04-30 23:35:30.372 | INFO     | app.main:lifespan:99 | [Startup] ✅ 种子数据初始化完成
2026-04-30 23:35:30.372 | INFO     | app.main:lifespan:103 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-04-30 23:35:30.373 | INFO     | app.main:lifespan:104 | ============================================================
2026-04-30 23:36:10.957 | INFO     | app.main:lifespan:106 | ============================================================
2026-04-30 23:36:10.958 | INFO     | app.main:lifespan:107 | 🛑 书房管理系统 正在关闭...
2026-04-30 23:36:10.958 | INFO     | app.main:lifespan:108 | ============================================================
2026-04-30 23:36:10.963 | INFO     | app.main:lifespan:110 | [Shutdown] ✅ 已安全关闭
2026-04-30 23:36:10.963 | INFO     | app.main:lifespan:111 | ============================================================
2026-04-30 23:36:16.273 | INFO     | app.main:setup_logging:76 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-04-30 23:36:16.274 | INFO     | app.main:lifespan:82 | ============================================================
2026-04-30 23:36:16.274 | INFO     | app.main:lifespan:83 | 🚀 书房管理系统 v2.0.0 启动中...
2026-04-30 23:36:16.274 | INFO     | app.main:lifespan:84 | ============================================================
2026-04-30 23:36:16.285 | INFO     | app.main:lifespan:90 | [Startup] ✅ 数据库表初始化完成
2026-04-30 23:36:16.366 | INFO     | app.main:lifespan:99 | [Startup] ✅ 种子数据初始化完成
2026-04-30 23:36:16.366 | INFO     | app.main:lifespan:103 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-04-30 23:36:16.367 | INFO     | app.main:lifespan:104 | ============================================================
2026-04-30 23:36:33.801 | INFO     | app.main:lifespan:106 | ============================================================
2026-04-30 23:36:33.801 | INFO     | app.main:lifespan:107 | 🛑 书房管理系统 正在关闭...
2026-04-30 23:36:33.802 | INFO     | app.main:lifespan:108 | ============================================================
2026-04-30 23:36:33.808 | INFO     | app.main:lifespan:110 | [Shutdown] ✅ 已安全关闭
2026-04-30 23:36:33.809 | INFO     | app.main:lifespan:111 | ============================================================
2026-04-30 23:36:39.475 | INFO     | app.main:setup_logging:77 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-04-30 23:36:39.476 | INFO     | app.main:lifespan:83 | ============================================================
2026-04-30 23:36:39.477 | INFO     | app.main:lifespan:84 | 🚀 书房管理系统 v2.0.0 启动中...
2026-04-30 23:36:39.477 | INFO     | app.main:lifespan:85 | ============================================================
2026-04-30 23:36:39.488 | INFO     | app.main:lifespan:91 | [Startup] ✅ 数据库表初始化完成
2026-04-30 23:36:39.580 | INFO     | app.main:lifespan:100 | [Startup] ✅ 种子数据初始化完成
2026-04-30 23:36:39.580 | INFO     | app.main:lifespan:104 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-04-30 23:36:39.581 | INFO     | app.main:lifespan:105 | ============================================================
2026-04-30 23:36:54.207 | INFO     | app.main:lifespan:107 | ============================================================
2026-04-30 23:36:54.208 | INFO     | app.main:lifespan:108 | 🛑 书房管理系统 正在关闭...
2026-04-30 23:36:54.209 | INFO     | app.main:lifespan:109 | ============================================================
2026-04-30 23:36:54.215 | INFO     | app.main:lifespan:111 | [Shutdown] ✅ 已安全关闭
2026-04-30 23:36:54.217 | INFO     | app.main:lifespan:112 | ============================================================
2026-04-30 23:37:00.733 | INFO     | app.main:setup_logging:77 | 日志系统已初始化 | 文件: ./logs/app.log | 错误: logs\app.error.log
2026-04-30 23:37:00.734 | INFO     | app.main:lifespan:83 | ============================================================
2026-04-30 23:37:00.734 | INFO     | app.main:lifespan:84 | 🚀 书房管理系统 v2.0.0 启动中...
2026-04-30 23:37:00.735 | INFO     | app.main:lifespan:85 | ============================================================
2026-04-30 23:37:00.746 | INFO     | app.main:lifespan:91 | [Startup] ✅ 数据库表初始化完成
2026-04-30 23:37:00.908 | INFO     | app.main:lifespan:100 | [Startup] ✅ 种子数据初始化完成
2026-04-30 23:37:00.909 | INFO     | app.main:lifespan:104 | [Startup] ✅ http://0.0.0.0:8000 | /docs | /health
2026-04-30 23:37:00.909 | INFO     | app.main:lifespan:105 | ============================================================
2026-04-30 23:49:34.198 | INFO     | app.main:lifespan:107 | ============================================================
2026-04-30 23:49:34.199 | INFO     | app.main:lifespan:108 | 🛑 书房管理系统 正在关闭...
2026-04-30 23:49:34.200 | INFO     | app.main:lifespan:109 | ============================================================
